,furnished,price,n_mean_price,neighbourhood,n_numb_temp,temporal,n_unemployment_relative,d_numb_temp,district,d_mean_price,bedrooms,bathrooms,square_meters,elevator,age_building,balcony,parking,heating,metro,energy_ratings,flat,floor_number,real_estate_agency,n_metro_stations,n_pop,n_pop_rel,n_disposable_income,n_unemployment,n_primary_educ,n_green_areas,n_mean_n02pp,n_spanish,n_popdensity,n_mean_age_flats,n_contracts,n_retail_stores,n_services,d_pop,d_pop_rel,d_avgmonth_income,d_noise_complaints,d_crime_rate,d_without_studies,d_primary_studies,d_secondary_studies,d_baccalaureate,d_university,d_no_spec,d_num_trees,d_mean_n02pp,d_spanish,d_metro_stations,d_poverty_risk,d_unemployment,d_unemployment_relative
W-02RQT2,0,1400,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,1,66,1,123,1,0,0,1,E,1,Second floor,1,5,"46,52","2,84","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
ELVIS - Skyflats Barcelona,1,1030,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,60,0,NA,0,0,1,0,G,1,Fourth floor,1,5,"46,52","1,39","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AVI000531,0,1390,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,2,84,1,87,1,0,1,0,D,1,Third floor,1,5,"46,52","0,87","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
RS0670,1,990,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,65,0,53,1,0,1,1,E,1,Fourth floor,1,5,"46,52","1,37","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AHB-JT-ALQ,1,975,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,53,1,123,1,0,0,1,G,1,Second floor,1,5,"46,52","2,04","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
2672,1,1100,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,55,0,173,0,0,0,1,D,1,Second floor,1,5,"46,52","3,13","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
22228,1,1100,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,43,0,176,1,0,1,0,G,1,Fifth floor,1,5,"46,52","2,69","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
alquiler carrer de san pau,1,1200,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,55,0,173,0,0,1,0,E,1,Second floor,1,5,"46,52","2,58","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
231LEP4OMS1,1,990,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,35,0,NA,1,0,1,0,ET,1,First floor,1,5,"46,52","3,49","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
W-02RREE,0,1400,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,59,0,NA,0,0,0,1,G,1,First floor,1,5,"46,52","2,33","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
99782414,1,1800,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,70,1,0,1,0,0,1,ET,1,Second floor,1,5,"46,52","2,39","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
TA4SAP191,1,1200,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,55,1,NA,1,0,0,1,E,1,Fourth floor,1,5,"46,52","0,09","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
b-1584,1,2700,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,90,1,NA,1,0,0,1,ET,1,First floor,1,5,"46,52","1,86","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
XC119-XLR,1,1800,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,2,70,1,NA,1,0,0,1,ET,1,Third floor,1,5,"46,52","0,63","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Hospital (12),1,800,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,41,1,27,1,0,1,1,E,1,Fourth floor,1,5,"46,52","0,97","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AT2202011,1,1490,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,62,1,NA,1,1,1,1,E,1,First floor,1,2,"22,75","1,17","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
ANAMBAS_2B_BCN_FERRAN_47_2_2,1,1650,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,63,0,123,1,0,1,1,C,1,Second floor,1,2,"22,75","1,48","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
RS0345,1,1250,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,56,1,NA,1,0,1,1,A,1,Second floor,1,2,"22,75","2,62","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
504,1,3300,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",4,2,104,1,NA,1,0,1,1,E,1,Third floor,1,2,"22,75","2,78","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
V-165,1,1500,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,62,1,12,1,0,1,1,E,1,Fourth floor,1,2,"22,75","1,44","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Z.HP.PR.FPD1R1-LT,1,1400,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,75,1,,1,0,1,1,ET,1,First floor,1,2,"22,75","0,72","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
100595185,1,3500,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,100,1,NA,1,0,1,1,ET,1,Third floor,1,2,"22,75","0,29","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
497,1,1850,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,63,1,NA,1,0,1,0,E,1,Third floor,1,2,"22,75","1,50","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AB2303128-1,1,3300,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,54,1,123,1,0,1,1,B,1,Third floor,1,2,"22,75","0,98","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
91264517,1,1290,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,60,0,223,1,0,1,1,E,1,Third floor,0,2,"22,75","1,57","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Canuda MT,1,1350,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,1,NA,1,0,1,1,B,1,Third floor,1,2,"22,75","2,88","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
XC2124-PB,1,3900,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,70,1,NA,1,0,1,1,D,1,Third floor,1,2,"22,75","1,82","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
1002,1,1040,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,55,0,223,1,0,1,1,E,1,First floor,1,2,"22,75","0,98","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AB2303027-1,1,2800,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,3,101,1,103,1,0,1,1,E,1,Third floor,1,2,"22,75","0,46","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
100224746,1,1200,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,85,1,NA,1,1,0,0,C,1,Third floor,0,2,"22,75","0,81","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
100840218,1,1250,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,38,0,NA,1,0,0,0,G,1,Fifth floor,0,0,"14,34","3,04","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Pontevedra,1,1990,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,40,0,NA,0,0,1,0,E,1,First floor,0,0,"14,34","2,14","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
P47,1,1200,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,0,NA,1,0,0,0,ET,1,Fourth floor,1,0,"14,34","1,56","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
XC324-XEM,1,5600,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,70,1,NA,1,0,1,0,D,1,Fifth floor,1,0,"14,34","0,57","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
ARM179,1,3900,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,90,1,NA,1,0,1,0,B,1,Seventh floor,1,0,"14,34","2,26","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
MAR PLAYA III,1,950,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,39,1,62,1,0,1,0,ET,1,Fourth floor,1,0,"14,34","0,58","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AT2210004,1,1200,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,33,1,NA,1,0,1,1,E,1,Fourth floor,1,0,"14,34","1,96","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Barceloneta Map Cool M12,1,1000,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,0,NA,1,0,0,1,ET,1,Second floor,1,0,"14,34","0,44","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Carrer del Mar,1,1900,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,55,NA,NA,0,0,1,1,E,1,Unknown,1,0,"14,34","1,70","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
38830077,1,7200,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,90,1,NA,1,0,1,1,C,1,Fifth floor,0,0,"14,34","1,57","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
NEW BARCELONETA,1,1800,"2282,133333",La Barceloneta,"6,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,50,1,23,1,0,1,1,C,1,Third floor,1,0,"14,34","1,67","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
I481-1,1,1750,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",3,1,84,NA,NA,0,0,0,1,D,1,Third floor,1,0,"14,34","1,11","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
TAB1ATL269x,1,1045,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,33,0,NA,0,0,1,0,E,1,Ground floor,1,0,"14,34","0,92","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
62db19cd4d9e96c2e473,1,2447,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,45,0,NA,1,0,0,0,ET,1,Fourth floor,1,0,"14,34","0,41","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
98762400,1,1000,"2282,133333",La Barceloneta,"6,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,0,NA,1,0,0,0,A,1,Ground floor,0,0,"14,34","0,99","16,322","1,169","0,32","0,0141",31-35,"58,09",124,86,"0,0071",924,814,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
hostal 3-1,1,1600,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,90,0,223,1,0,0,1,F,1,Fourth floor,1,3,"22,42","0,77","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
BHHS-002872,1,5000,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,3,150,1,NA,1,0,0,1,E,1,Second floor,1,3,"22,42","1,61","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
104747,1,1120,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,62,1,NA,1,0,0,1,G,1,Second floor,1,3,"22,42","0,45","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
35133620,1,1350,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,64,1,NA,1,0,1,1,ET,1,Second floor,0,3,"22,42","0,63","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
A4222,1,950,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,47,1,87,1,0,1,0,D,1,Fourth floor,1,3,"22,42","0,16","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
3417,1,1350,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,86,1,14,1,0,1,1,E,1,Third floor,1,3,"22,42","0,83","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
101097279,1,850,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,37,1,NA,0,0,0,0,ET,1,Fourth floor,0,3,"22,42","3,51","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Ciudadela,1,3250,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,100,1,128,1,0,1,1,A,1,Fifth floor,1,3,"22,42","1,80","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
I-BferrG8,1,3100,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,3,120,0,NA,1,0,1,0,F,1,First floor,1,3,"22,42","0,87","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AB2211076,1,2300,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,80,1,123,1,0,1,0,E,1,Fourth floor,1,3,"22,42","1,34","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
37745325,0,2000,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,82,1,NA,0,0,1,1,ET,1,Eighth floor,0,3,"22,42","2,33","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
D53,1,1330,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,0,NA,1,0,1,1,C,1,Second floor,1,3,"22,42","1,61","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
PIS4375A,0,1200,"1969,333333","San Pedro, Santa Catalina y la Ribera","1,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,67,1,NA,1,0,1,1,G,1,Fifth floor,1,3,"22,42","0,97","18,075","1,611","0,24","0,0355",31-35,"53,04",199,110,"0,0231",188,356,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
